0.18	0.00000	1.00000
0.21	0.00000	0.92692
0.24	0.00002	0.85441
0.27	0.00014	0.79288
0.30	0.00045	0.71312
0.33	0.01110	0.64526
0.36	0.00232	0.57980
0.39	0.00430	0.51709
0.42	0.00733	0.45744
0.45	0.01175	0.40110
0.48	0.01791	0.34831
0.51	0.02623	0.29924
0.54	0.03714	0.25403
0.57	0.05116	0.21278
0.60	0.06882	0.17552
0.63	0.09069	0.14228
0.66	0.11741	0.11301
0.69	0.14963	0.08776
0.72	0.18807	0.06603
0.75	0.23347	0.04803
0.78	0.28664	0.03344
0.81	0.34842	0.02199
0.84	0.41968	0.01340
0.87	0.50125	0.00733
0.90	0.59439	0.00340
