# Well(3,2), Well(4,4), Well(9,3)
7000.000000,7000.000000,7000.000000
6490.892420,6976.155481,6503.623846
6361.510058,6927.633869,6354.318026
6300.942518,6873.155233,6273.358434
6258.438178,6818.506883,6214.674212
6223.135551,6765.524162,6167.125569
6191.732857,6714.798441,6126.546731
6162.856657,6666.471923,6090.841823
6135.798940,6620.503088,6058.775403
6110.144466,6576.773195,6029.549751
6085.630179,6535.135143,6002.617075
6062.081163,6495.437142,5977.583740
6039.377104,6457.533975,5954.156917
6017.432983,6421.291862,5932.112803
5996.187228,6386.590002,5911.276602
5975.594118,6353.320434,5891.509319
5955.618778,6321.387117,5872.698698
5936.233806,6290.704690,5854.752815
5917.416966,6261.197177,5837.595445
5899.149603,6232.796749,5821.162625
5881.415534,6205.442605,5805.400089
5864.200278,6179.079990,5790.261303
5847.490518,6153.659343,5775.705968
5831.273725,6129.135576,5761.698846
5815.537905,6105.467453,5748.208845
5800.271423,6082.617075,5735.208296
5785.462885,6060.549440,5722.672378
5771.101070,6039.232075,5710.578655
5757.174882,6018.634721,5698.906709
5743.673328,5998.729075,5687.637834
5730.585511,5979.488562,5676.754796
5717.900627,5960.888152,5666.241626
5705.607978,5942.904194,5656.083460
5693.696974,5925.514282,5646.266396
5682.157152,5908.697136,5636.777386
5670.978186,5892.432503,5627.604133
5660.149902,5876.701068,5618.735018
5649.662286,5861.484377,5610.159026
5639.505498,5846.764775,5601.865692
5629.669882,5832.525345,5593.845047
5620.145972,5818.749858,5586.087583
5610.924500,5805.422728,5578.584209
5601.996402,5792.528977,5571.326226
5593.352822,5780.054188,5564.305284
5584.985115,5767.984483,5557.513380
5576.884846,5756.306494,5550.942823
5569.043798,5745.007332,5544.586217
5561.453964,5734.074568,5538.436443
5554.107551,5723.496208,5532.486645
5546.996979,5713.260675,5526.730217
5540.114875,5703.356789,5521.160789
5533.454076,5693.773753,5515.772217
5527.007620,5684.501133,5510.558569
5520.768748,5675.528849,5505.514123
5514.730898,5666.847155,5500.633349
5508.887702,5658.446631,5495.910907
5503.232980,5650.318167,5491.341638
5497.760739,5642.452956,5486.920556
5492.465166,5634.842477,5482.642840
5487.340626,5627.478492,5478.503831
5482.381655,5620.353030,5474.499023
5477.582958,5613.458379,5470.624062
5472.939395,5606.787098,5466.874736
5468.445969,5600.331958,5463.246967
5464.097908,5594.085971,5459.736821
5459.890537,5588.042375,5456.340479
5455.819334,5582.194632,5453.054253
5451.879921,5576.536415,5449.874573
5448.068057,5571.061603,5446.797988
5444.379637,5565.764270,5443.821156
5440.810683,5560.638683,5440.940847
5437.357347,5555.679295,5438.153934
5434.015897,5550.880735,5435.457390
5430.782698,5546.237808,5432.848292
5427.654327,5541.757309,5430.324738
5424.627334,5537.417001,5427.883355
5421.698371,5533.227124,5425.522031
5418.864227,5529.171974,5423.237916
5416.121762,5525.248581,5421.028341
5413.468085,5521.452877,5418.890784
5410.900265,5517.780725,5416.822847
5408.415531,5514.228108,5414.822221
5406.011160,5510.791135,5412.886685
5403.684613,5507.466044,5411.014095
